Rk,G,Date,Age,Tm,,Opp,WorL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2016/10/25,28-225,GSW,,SAS,L (-29),1,34:06:00,9,18,0.5,3,10,0.3,5,6,0.833,0,3,3,4,0,0,4,1,26,15.9,-9
2,2,2016/10/28,28-228,GSW,@,NOP,W (+8),1,34:04:00,8,19,0.421,4,10,0.4,3,4,0.75,1,0,1,8,1,0,4,3,23,14.6,4
3,3,2016/10/30,28-230,GSW,@,PHO,W (+6),1,34:13:00,9,17,0.529,5,8,0.625,5,5,1,0,1,1,3,0,0,1,5,28,19.1,0
4,4,2016/11/1,28-232,GSW,@,POR,W (+23),1,29:30:00,10,21,0.476,5,10,0.5,3,4,0.75,1,3,4,3,1,0,4,3,28,16.4,24
5,5,2016/11/3,28-234,GSW,,OKC,W (+26),1,30:03:00,6,14,0.429,2,6,0.333,7,8,0.875,0,1,1,7,2,1,1,1,21,19.7,17
6,6,2016/11/4,28-235,GSW,@,LAL,L (-20),1,31:06:00,5,17,0.294,0,10,0,3,3,1,0,8,8,10,2,1,2,3,13,12,-5
7,7,2016/11/7,28-238,GSW,,NOP,W (+10),1,35:39:00,16,26,0.615,13,17,0.765,1,2,0.5,3,2,5,5,2,0,4,2,46,37.2,7
8,8,2016/11/9,28-240,GSW,,DAL,W (+21),1,30:50:00,8,12,0.667,4,8,0.5,4,4,1,0,3,3,6,1,0,5,1,24,19.5,17
9,9,2016/11/10,28-241,GSW,@,DEN,W (+24),1,29:56:00,10,17,0.588,7,13,0.538,6,6,1,1,4,5,6,1,0,4,1,33,27.8,27
10,10,2016/11/13,28-244,GSW,,PHO,W (+13),1,36:46:00,9,17,0.529,5,9,0.556,7,7,1,0,6,6,6,2,0,3,2,30,25.9,22
11,11,2016/11/16,28-247,GSW,@,TOR,W (+6),1,37:22:00,10,19,0.526,3,9,0.333,12,13,0.923,2,1,3,7,1,0,3,3,35,28.7,5
12,12,2016/11/18,28-249,GSW,@,BOS,W (+16),1,36:18:00,7,20,0.35,2,10,0.2,0,0,,0,3,3,8,4,1,2,4,16,12.4,19
13,13,2016/11/19,28-250,GSW,@,MIL,W (+3),1,34:41:00,7,21,0.333,1,11,0.091,5,5,1,0,5,5,5,1,0,3,4,20,9.5,1
14,14,2016/11/21,28-252,GSW,@,IND,W (+37),1,29:30:00,6,11,0.545,2,6,0.333,8,8,1,2,4,6,6,1,0,1,1,22,23.1,34
15,15,2016/11/23,28-254,GSW,,LAL,W (+43),1,28:45:00,11,18,0.611,7,12,0.583,2,2,1,0,5,5,9,1,0,1,1,31,30.2,32
16,16,2016/11/25,28-256,GSW,@,LAL,W (+24),1,35:36:00,8,17,0.471,4,10,0.4,4,4,1,2,3,5,5,3,0,3,1,24,20.7,14
17,17,2016/11/26,28-257,GSW,,MIN,W (+13),1,37:10:00,13,19,0.684,4,8,0.5,4,4,1,1,7,8,6,1,0,6,4,34,26.3,16
18,18,2016/11/28,28-259,GSW,,ATL,W (+5),1,38:14:00,6,17,0.353,4,11,0.364,9,11,0.818,0,3,3,3,2,0,3,2,25,15.9,6
19,19,2016/12/1,28-262,GSW,,HOU,L (-5),1,38:23:00,9,22,0.409,4,13,0.308,6,6,1,1,2,3,5,3,1,5,6,28,17.3,10
20,20,2016/12/3,28-264,GSW,,PHO,W (+29),1,29:50:00,10,15,0.667,5,7,0.714,6,6,1,0,2,2,1,1,0,3,2,31,23,15
21,21,2016/12/5,28-266,GSW,,IND,W (+36),1,29:09:00,4,10,0.4,2,7,0.286,3,4,0.75,0,4,4,11,2,1,0,4,13,17.2,24
22,22,2016/12/7,28-268,GSW,@,LAC,W (+17),1,33:17:00,7,16,0.438,0,8,0,5,5,1,0,4,4,6,7,0,3,3,19,18.8,18
23,23,2016/12/8,28-269,GSW,@,UTA,W (+7),1,35:34:00,7,16,0.438,3,9,0.333,9,9,1,0,5,5,2,2,0,3,2,26,18.7,10
24,24,2016/12/10,28-271,GSW,@,MEM,L (-21),1,30:35:00,4,14,0.286,3,11,0.273,6,6,1,2,6,8,3,0,0,4,3,17,8.9,-24
25,25,2016/12/11,28-272,GSW,@,MIN,W (+8),1,31:35:00,6,13,0.462,2,5,0.4,8,8,1,1,3,4,9,1,0,0,3,22,23,-6
