Rk,G,Date,Age,Tm,,Opp,WorL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
26,26,2016/12/13,28-274,GSW,@,NOP,W (+4),1,34:07:00,11,23,0.478,5,9,0.556,3,4,0.75,2,2,4,7,1,0,2,2,30,23,4
27,27,2016/12/15,28-276,GSW,,NYK,W (+13),1,33:49:00,3,14,0.214,2,8,0.25,0,0,,1,9,10,8,1,0,3,0,8,6.4,20
28,28,2016/12/17,28-278,GSW,,POR,W (+45),1,27:14:00,6,11,0.545,5,8,0.625,2,2,1,0,3,3,6,0,0,3,3,19,14.6,21
29,29,2016/12/20,28-281,GSW,,UTA,W (+30),1,30:13:00,8,18,0.444,4,9,0.444,5,5,1,0,3,3,4,3,0,0,0,25,22.3,27
30,30,2016/12/22,28-283,GSW,@,BRK,W (+16),1,32:58:00,6,19,0.316,3,13,0.231,0,0,,0,2,2,7,5,0,2,5,15,10.6,25
31,31,2016/12/23,28-284,GSW,@,DET,W (+6),1,35:00:00,7,16,0.438,5,10,0.5,6,6,1,0,3,3,8,2,0,5,1,25,19.7,6
32,32,2016/12/25,28-286,GSW,@,CLE,L (-1),1,37:20:00,4,11,0.364,2,7,0.286,5,6,0.833,0,3,3,3,3,0,3,4,15,9.9,-1
33,33,2016/12/28,28-289,GSW,,TOR,W (+10),1,36:19:00,9,18,0.5,3,6,0.5,7,7,1,1,6,7,7,0,0,2,3,28,23.2,27
34,34,2016/12/30,28-291,GSW,,DAL,W (+9),1,30:08:00,5,12,0.417,3,6,0.5,1,1,1,0,4,4,5,1,0,1,2,14,11.5,14
35,35,2017/1/2,28-294,GSW,,DEN,W (+8),1,35:03:00,8,18,0.444,3,9,0.333,3,3,1,0,3,3,5,0,0,3,2,22,13.2,7
36,36,2017/1/4,28-296,GSW,,POR,W (+8),1,35:54:00,12,25,0.48,5,13,0.385,6,8,0.75,1,6,7,5,1,0,5,1,35,23.1,6
37,37,2017/1/6,28-298,GSW,,MEM,L (-9),1,42:13:00,15,27,0.556,5,13,0.385,5,5,1,0,3,3,6,1,1,4,2,40,29.1,-10
38,38,2017/1/8,28-300,GSW,@,SAC,W (+11),1,37:06:00,11,22,0.5,5,11,0.455,3,3,1,2,2,4,6,2,0,4,3,30,22,14
39,39,2017/1/10,28-302,GSW,,MIA,W (+12),1,35:43:00,8,21,0.381,4,11,0.364,4,5,0.8,1,7,8,9,1,1,3,0,24,19.9,18
40,40,2017/1/12,28-304,GSW,,DET,W (+20),1,29:51:00,9,17,0.529,3,9,0.333,3,3,1,0,2,2,7,5,0,8,0,24,18.2,32
41,41,2017/1/16,28-308,GSW,,CLE,W (+35),1,30:55:00,7,20,0.35,5,12,0.417,1,2,0.5,0,2,2,11,4,0,3,2,20,16.9,23
42,42,2017/1/18,28-310,GSW,,OKC,W (+21),1,34:11:00,9,19,0.474,2,6,0.333,4,4,1,0,4,4,8,3,0,3,0,24,21.1,19
43,43,2017/1/20,28-312,GSW,@,HOU,W (+17),1,32:57:00,8,18,0.444,5,11,0.455,3,5,0.6,0,1,1,7,1,0,1,1,24,18.6,15
44,44,2017/1/22,28-314,GSW,@,ORL,W (+20),1,29:33:00,8,15,0.533,7,13,0.538,4,4,1,1,3,4,6,0,0,3,2,27,21.7,32
45,45,2017/1/23,28-315,GSW,@,MIA,L (-3),1,36:31:00,7,19,0.368,3,9,0.333,4,5,0.8,0,9,9,8,0,1,4,2,21,14.3,1
46,46,2017/1/25,28-317,GSW,@,CHO,W (+10),1,36:16:00,11,23,0.478,6,12,0.5,0,0,,0,2,2,7,1,1,4,2,28,18.7,0
47,47,2017/1/28,28-320,GSW,,LAC,W (+46),1,28:57:00,15,23,0.652,9,15,0.6,4,4,1,0,9,9,6,0,0,2,1,43,37.4,42
48,,2017/1/29,28-321,GSW,@,POR,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
49,48,2017/2/1,28-324,GSW,,CHO,W (+15),1,30:16:00,14,20,0.7,11,15,0.733,0,0,,1,4,5,8,3,0,1,2,39,39.3,25
50,49,2017/2/2,28-325,GSW,@,LAC,W (+13),1,37:26:00,11,23,0.478,3,10,0.3,4,4,1,1,2,3,11,3,0,4,1,29,24.9,13
51,50,2017/2/4,28-327,GSW,@,SAC,L (-3),1,41:45:00,11,20,0.55,8,14,0.571,5,6,0.833,0,4,4,9,3,0,3,2,35,31.7,4
52,51,2017/2/8,28-331,GSW,,CHI,W (+31),1,28:12:00,5,11,0.455,1,4,0.25,2,2,1,0,1,1,6,1,0,2,4,13,9.2,20
53,52,2017/2/10,28-333,GSW,@,MEM,W (+15),1,34:51:00,6,13,0.462,2,6,0.333,4,5,0.8,0,4,4,5,0,0,3,3,18,11.4,15
54,53,2017/2/11,28-334,GSW,@,OKC,W (+16),1,33:54:00,9,19,0.474,4,11,0.364,4,4,1,3,5,8,9,2,0,0,2,26,27.4,16
55,54,2017/2/13,28-336,GSW,@,DEN,L (-22),1,26:42:00,4,18,0.222,1,11,0.091,2,2,1,1,1,2,5,1,0,1,1,11,4.1,-24
56,55,2017/2/15,28-338,GSW,,SAC,W (+23),1,30:03:00,4,14,0.286,2,8,0.25,3,4,0.75,0,6,6,9,0,2,3,2,13,10.1,23
57,56,2017/2/23,28-346,GSW,,LAC,W (+10),1,32:11:00,10,16,0.625,6,10,0.6,9,10,0.9,1,6,7,5,4,0,4,5,35,31.4,26
58,57,2017/2/25,28-348,GSW,,BRK,W (+17),1,34:55:00,9,21,0.429,5,10,0.5,4,4,1,1,4,5,5,3,0,4,2,27,19.5,17
59,58,2017/2/27,28-350,GSW,@,PHI,W (+11),1,34:48:00,7,23,0.304,0,11,0,5,5,1,2,2,4,6,2,0,4,2,19,9.1,8
60,59,2017/2/28,28-351,GSW,@,WAS,L (-4),1,34:14:00,9,20,0.45,2,9,0.222,5,6,0.833,4,3,7,4,2,0,5,3,25,16.5,-5
61,60,2017/3/2,28-353,GSW,@,CHI,L (-7),1,35:28:00,10,27,0.37,2,11,0.182,1,1,1,1,5,6,5,5,0,4,4,23,13.2,-4
62,61,2017/3/5,28-356,GSW,@,NYK,W (+7),1,36:51:00,11,24,0.458,5,13,0.385,4,6,0.667,2,6,8,6,2,0,2,2,31,24.4,22
63,62,2017/3/6,28-357,GSW,@,ATL,W (+8),1,34:31:00,8,20,0.4,6,15,0.4,2,3,0.667,1,3,4,9,0,0,2,4,24,17.1,5
64,63,2017/3/8,28-359,GSW,,BOS,L (-13),1,35:08:00,8,16,0.5,2,9,0.222,5,5,1,3,2,5,6,0,1,4,4,23,17,-3
65,64,2017/3/10,28-361,GSW,@,MIN,L (-1),1,35:18:00,10,27,0.37,1,8,0.125,5,5,1,3,3,6,7,1,0,6,4,26,12.4,-5
66,,2017/3/11,28-362,GSW,@,SAS,L (-22),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
67,65,2017/3/14,29-000,GSW,,PHI,W (+2),1,37:25:00,8,23,0.348,5,13,0.385,8,8,1,2,4,6,5,3,0,5,3,29,19,3
68,66,2017/3/16,29-002,GSW,,ORL,W (+30),1,28:07:00,8,15,0.533,2,7,0.286,7,7,1,0,1,1,9,3,0,2,1,25,24.9,24
69,67,2017/3/18,29-004,GSW,,MIL,W (+25),1,30:17:00,9,13,0.692,6,8,0.75,4,4,1,0,4,4,4,1,1,3,3,28,24,18
70,68,2017/3/20,29-006,GSW,@,OKC,W (+16),1,29:53:00,8,17,0.471,7,12,0.583,0,0,,0,4,4,6,0,0,5,3,23,13.5,16
71,69,2017/3/21,29-007,GSW,@,DAL,W (+25),1,29:45:00,7,14,0.5,3,9,0.333,0,0,,1,4,5,9,2,0,0,1,17,19.8,14
72,70,2017/3/24,29-010,GSW,,SAC,W (+14),1,33:14:00,9,18,0.5,5,11,0.455,4,4,1,1,6,7,12,6,0,3,0,27,31.9,28
73,71,2017/3/26,29-012,GSW,,MEM,W (+12),1,36:19:00,8,18,0.444,5,12,0.417,0,0,,0,1,1,11,4,0,5,1,21,18.2,8
74,72,2017/3/28,29-014,GSW,@,HOU,W (+7),1,33:25:00,11,22,0.5,3,11,0.273,7,10,0.7,2,8,10,7,2,0,6,5,32,22.5,9
75,73,2017/3/29,29-015,GSW,@,SAS,W (+12),1,35:08:00,9,20,0.45,4,8,0.5,7,7,1,1,3,4,11,1,0,2,5,29,24.9,6
76,74,2017/3/31,29-017,GSW,,HOU,W (+9),1,34:46:00,8,18,0.444,4,9,0.444,4,5,0.8,3,4,7,5,2,0,2,4,24,19.4,14
77,75,2017/4/2,29-019,GSW,,WAS,W (+24),1,35:33:00,15,22,0.682,9,14,0.643,3,3,1,0,1,1,8,1,0,1,3,42,37.3,26
78,76,2017/4/4,29-021,GSW,,MIN,W (+14),1,29:53:00,7,18,0.389,3,8,0.375,2,4,0.5,0,3,3,9,3,2,3,2,19,16.2,13
79,77,2017/4/5,29-022,GSW,@,PHO,W (+9),1,35:11:00,15,25,0.6,8,12,0.667,4,7,0.571,0,4,4,11,2,2,3,0,42,38.6,25
80,,2017/4/8,29-025,GSW,,NOP,W (+22),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
81,78,2017/4/10,29-027,GSW,,UTA,L (-6),1,29:57:00,9,16,0.563,6,8,0.75,4,5,0.8,1,3,4,4,1,0,1,1,28,24,9
82,79,2017/4/12,29-029,GSW,,LAL,W (+15),1,28:27:00,6,17,0.353,5,14,0.357,3,4,0.75,0,5,5,8,2,0,6,1,20,12.8,27
