Rk,G,Date,Age,Tm,,Opp,WorL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
11,11,2021/1/12,32-304,GSW,,IND,L (-9),1,35:53:00,7,17,0.412,3,8,0.375,3,5,0.6,1,3,4,3,2,0,2,3,20,12.6,-2
12,12,2021/1/14,32-306,GSW,@,DEN,L (-10),1,36:58:00,14,23,0.609,5,11,0.455,2,2,1,0,11,11,4,2,0,7,2,35,24.8,-21
13,13,2021/1/18,32-310,GSW,@,LAL,W (+2),1,35:37:00,8,22,0.364,3,12,0.25,7,7,1,0,1,1,7,1,0,4,2,26,15.2,-3
14,14,2021/1/20,32-312,GSW,,SAS,W (+22),1,31:28:00,10,17,0.588,4,8,0.5,2,2,1,1,10,11,7,1,0,4,2,26,22.9,30
15,15,2021/1/21,32-313,GSW,,NYK,L (-15),1,34:39:00,9,19,0.474,5,14,0.357,7,8,0.875,0,3,3,4,2,0,4,3,30,20.4,-16
16,16,2021/1/23,32-315,GSW,@,UTA,L (-19),1,27:06:00,9,18,0.5,5,10,0.5,1,2,0.5,0,7,7,7,0,0,1,2,24,19.8,-24
17,17,2021/1/25,32-317,GSW,,MIN,W (+22),1,33:53:00,11,21,0.524,7,12,0.583,7,8,0.875,1,3,4,3,3,0,3,2,36,28.2,19
18,18,2021/1/27,32-319,GSW,,MIN,W (+12),1,33:13:00,6,17,0.353,4,11,0.364,0,0,,0,6,6,8,0,0,2,2,16,11.1,28
19,19,2021/1/28,32-320,GSW,@,PHO,L (-21),1,31:14:00,10,20,0.5,5,10,0.5,2,2,1,1,3,4,4,0,0,4,2,27,16.6,-23
20,20,2021/1/30,32-322,GSW,,DET,W (+27),1,29:57:00,11,17,0.647,6,8,0.75,0,0,,0,5,5,7,2,0,6,1,28,22.5,26
21,21,2021/2/2,32-325,GSW,,BOS,L (-4),1,38:09:00,12,21,0.571,7,14,0.5,7,7,1,0,11,11,8,3,0,3,0,38,37,4
22,22,2021/2/4,32-327,GSW,@,DAL,W (+31),1,29:56:00,9,17,0.529,4,10,0.4,6,6,1,0,3,3,6,0,0,2,2,28,22,19
23,23,2021/2/6,32-329,GSW,@,DAL,L (-2),1,37:04:00,19,31,0.613,11,19,0.579,8,8,1,0,2,2,5,1,0,3,3,57,43.8,7
24,24,2021/2/8,32-331,GSW,@,SAS,L (-5),1,35:37:00,10,17,0.588,6,11,0.545,6,6,1,0,7,7,6,1,0,1,1,32,30,3
25,25,2021/2/9,32-332,GSW,@,SAS,W (+23),1,31:56:00,11,20,0.55,4,10,0.4,6,8,0.75,0,4,4,2,0,0,1,1,32,22.8,15
26,26,2021/2/11,32-334,GSW,,ORL,W (+6),1,37:23:00,14,26,0.538,10,19,0.526,2,2,1,0,8,8,5,4,0,6,1,40,30.9,16
27,27,2021/2/13,32-336,GSW,,BRK,L (-17),1,33:38:00,10,17,0.588,2,9,0.222,5,5,1,0,3,3,5,0,0,4,2,27,18.7,-26
28,28,2021/2/15,32-338,GSW,,CLE,W (+31),1,29:47:00,13,19,0.684,7,11,0.636,3,3,1,0,2,2,6,0,0,1,0,36,31.7,20
29,29,2021/2/17,32-340,GSW,,MIA,W (+8),1,42:21:00,8,25,0.32,5,20,0.25,4,4,1,1,6,7,11,2,0,3,1,25,19.5,8
30,30,2021/2/19,32-342,GSW,@,ORL,L (-4),1,37:08:00,11,29,0.379,6,16,0.375,1,1,1,2,5,7,11,0,0,1,3,29,21.5,-7
31,,2021/2/20,32-343,GSW,@,CHO,L (-2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
32,31,2021/2/23,32-346,GSW,@,NYK,W (+8),1,36:42:00,9,22,0.409,7,14,0.5,12,12,1,0,6,6,6,2,0,2,1,37,30.8,19
33,32,2021/2/24,32-347,GSW,@,IND,W (+4),1,35:56:00,7,21,0.333,1,11,0.091,9,10,0.9,1,7,8,8,2,0,4,2,24,17.3,7
34,33,2021/2/26,32-349,GSW,,CHO,W (+9),1,35:53:00,8,15,0.533,3,8,0.375,10,10,1,0,4,4,9,1,0,4,1,29,25.8,23
35,34,2021/2/28,32-351,GSW,@,LAL,L (-26),1,25:54:00,5,13,0.385,2,7,0.286,4,5,0.8,0,4,4,7,3,0,3,2,16,13.8,-24
36,35,2021/3/3,32-354,GSW,@,POR,L (-2),1,36:17:00,13,28,0.464,5,14,0.357,4,5,0.8,1,6,7,5,3,0,4,1,35,24.8,-6
